model_id_x,ROC_rank_x,avg_auc_x,model_id_y,ROC_rank_y,avg_auc_y,rank_x-rank_y,avg_auc_x=avg_auc_y,rank_x-rank_y_greater_cd_18.082
rpart_0.01_all,4.65,0.894,adaboost_100_Real adaboost_forum,49.417,0.505,-44.767,0.389,True
rpart_0.01_all,4.65,0.894,adaboost_500_Real adaboost_forum,50.085,0.504,-45.435,0.39,True
rpart_0.01_all,4.65,0.894,adaboost_100_Real adaboost_all,51.156,0.589,-46.506,0.305,True
rpart_0.01_all,4.65,0.894,nb_1_FALSE_1_forum,52.824,0.499,-48.174,0.394,True
rpart_0.01_all,4.65,0.894,nb_0_FALSE_1_forum,52.824,0.499,-48.174,0.394,True
rpart_0.01_all,4.65,0.894,rpart_0.001_forum,53.404,0.501,-48.754,0.392,True
rpart_0.01_all,4.65,0.894,adaboost_500_Real adaboost_all,54.928,0.562,-50.278,0.331,True
rpart_0.01_all,4.65,0.894,rpart_0.001_quiz,58.023,0.555,-53.373,0.338,True
rpart_0.01_all,4.65,0.894,adaboost_50_Real adaboost_quiz,67.512,0.519,-62.863,0.374,True
rpart_0.01_all,4.65,0.894,adaboost_100_Real adaboost_quiz,67.966,0.516,-63.316,0.377,True
rpart_0.01_all,4.65,0.894,adaboost_500_Real adaboost_quiz,70.83,0.51,-66.18,0.384,True
rpart_0.01_all,4.65,0.894,nb_0_FALSE_1_all,75.116,0.501,-70.466,0.393,True
rpart_0.01_all,4.65,0.894,nb_1_FALSE_1_all,75.116,0.501,-70.466,0.393,True
rpart_0.001_clickstream,4.659,0.892,rpart_0.001_all,2.694,0.901,1.965,-0.009,False
rpart_0.001_clickstream,4.659,0.892,adaboost_100_Adaboost.M1_all,3.508,0.898,1.151,-0.006,False
rpart_0.001_clickstream,4.659,0.892,adaboost_50_Adaboost.M1_all,3.548,0.898,1.11,-0.006,False
rpart_0.001_clickstream,4.659,0.892,adaboost_500_Adaboost.M1_all,4.131,0.897,0.528,-0.005,False
rpart_0.001_clickstream,4.659,0.892,adaboost_50_Adaboost.M1_clickstream,4.537,0.893,0.122,-0.001,False
rpart_0.001_clickstream,4.659,0.892,adaboost_100_Adaboost.M1_clickstream,4.829,0.892,-0.17,-0.0,False
rpart_0.001_clickstream,4.659,0.892,adaboost_500_Adaboost.M1_clickstream,5.764,0.891,-1.105,0.001,False
rpart_0.001_clickstream,4.659,0.892,nb_1_TRUE_1_clickstream,7.771,0.873,-3.112,0.02,False
rpart_0.001_clickstream,4.659,0.892,nb_0_TRUE_1_clickstream,7.771,0.873,-3.112,0.02,False
rpart_0.001_clickstream,4.659,0.892,nb_1_FALSE_1_clickstream,13.538,0.791,-8.879,0.101,False
rpart_0.001_clickstream,4.659,0.892,nb_0_FALSE_1_clickstream,13.538,0.791,-8.879,0.101,False
rpart_0.001_clickstream,4.659,0.892,glmnet_0_0_clickstream,17.375,0.752,-12.716,0.14,False
rpart_0.001_clickstream,4.659,0.892,glmnet_0_0.001_clickstream,17.375,0.752,-12.716,0.14,False
rpart_0.001_clickstream,4.659,0.892,glmnet_0_0.01_clickstream,17.58,0.751,-12.921,0.141,False
rpart_0.001_clickstream,4.659,0.892,glmnet_0_0.01_all,17.991,0.78,-13.332,0.112,False
rpart_0.001_clickstream,4.659,0.892,glmnet_0_0.1_all,18.306,0.779,-13.647,0.113,False
rpart_0.001_clickstream,4.659,0.892,glmnet_0_0.001_all,18.688,0.779,-14.029,0.113,False
rpart_0.001_clickstream,4.659,0.892,glmnet_0_0_all,18.688,0.779,-14.029,0.113,False
rpart_0.001_clickstream,4.659,0.892,glmnet_0_0.1_clickstream,18.915,0.739,-14.256,0.153,False
rpart_0.001_clickstream,4.659,0.892,glmnet_0_1_clickstream,22.994,0.7,-18.335,0.192,True
rpart_0.001_clickstream,4.659,0.892,glmnet_0_1_all,23.012,0.752,-18.354,0.141,True
rpart_0.001_clickstream,4.659,0.892,nb_0_TRUE_1_all,31.023,0.725,-26.365,0.167,True
rpart_0.001_clickstream,4.659,0.892,nb_1_TRUE_1_all,31.023,0.725,-26.365,0.167,True
rpart_0.001_clickstream,4.659,0.892,adaboost_50_Real adaboost_clickstream,33.74,0.609,-29.081,0.283,True
rpart_0.001_clickstream,4.659,0.892,adaboost_100_Real adaboost_clickstream,34.755,0.596,-30.096,0.296,True
rpart_0.001_clickstream,4.659,0.892,adaboost_500_Real adaboost_clickstream,39.315,0.551,-34.656,0.341,True
rpart_0.001_clickstream,4.659,0.892,glmnet_0_0.01_quiz,39.416,0.605,-34.757,0.287,True
rpart_0.001_clickstream,4.659,0.892,glmnet_0_1_forum,39.455,0.514,-34.797,0.378,True
rpart_0.001_clickstream,4.659,0.892,glmnet_0_0_quiz,39.477,0.605,-34.818,0.287,True
rpart_0.001_clickstream,4.659,0.892,glmnet_0_0.001_quiz,39.477,0.605,-34.818,0.287,True
rpart_0.001_clickstream,4.659,0.892,glmnet_0_0.1_quiz,39.742,0.604,-35.083,0.288,True
rpart_0.001_clickstream,4.659,0.892,adaboost_500_Adaboost.M1_forum,41.024,0.514,-36.366,0.379,True
rpart_0.001_clickstream,4.659,0.892,glmnet_0_0.1_forum,41.717,0.512,-37.058,0.38,True
rpart_0.001_clickstream,4.659,0.892,glmnet_0_1_quiz,42.514,0.596,-37.855,0.296,True
rpart_0.001_clickstream,4.659,0.892,adaboost_100_Adaboost.M1_forum,42.573,0.513,-37.914,0.379,True
rpart_0.001_clickstream,4.659,0.892,glmnet_0_0.01_forum,43.12,0.511,-38.461,0.381,True
rpart_0.001_clickstream,4.659,0.892,glmnet_0_0.001_forum,43.421,0.511,-38.762,0.382,True
rpart_0.001_clickstream,4.659,0.892,glmnet_0_0_forum,43.499,0.511,-38.841,0.382,True
rpart_0.001_clickstream,4.659,0.892,adaboost_50_Adaboost.M1_forum,43.774,0.512,-39.115,0.38,True
rpart_0.001_clickstream,4.659,0.892,nb_1_TRUE_1_forum,44.41,0.511,-39.752,0.381,True
rpart_0.001_clickstream,4.659,0.892,nb_0_TRUE_1_forum,44.41,0.511,-39.752,0.381,True
rpart_0.001_clickstream,4.659,0.892,nb_0_FALSE_1_quiz,45.172,0.587,-40.513,0.305,True
rpart_0.001_clickstream,4.659,0.892,nb_1_FALSE_1_quiz,45.172,0.587,-40.513,0.305,True
rpart_0.001_clickstream,4.659,0.892,adaboost_100_Adaboost.M1_quiz,45.78,0.585,-41.121,0.307,True
rpart_0.001_clickstream,4.659,0.892,adaboost_50_Adaboost.M1_quiz,45.93,0.585,-41.271,0.307,True
rpart_0.001_clickstream,4.659,0.892,adaboost_500_Adaboost.M1_quiz,45.948,0.585,-41.29,0.307,True
rpart_0.001_clickstream,4.659,0.892,nb_0_TRUE_1_quiz,46.05,0.585,-41.391,0.307,True
rpart_0.001_clickstream,4.659,0.892,nb_1_TRUE_1_quiz,46.05,0.585,-41.391,0.307,True
rpart_0.001_clickstream,4.659,0.892,adaboost_50_Real adaboost_forum,48.206,0.506,-43.547,0.386,True
rpart_0.001_clickstream,4.659,0.892,adaboost_50_Real adaboost_all,48.862,0.6,-44.204,0.292,True
rpart_0.001_clickstream,4.659,0.892,adaboost_100_Real adaboost_forum,49.417,0.505,-44.758,0.387,True
rpart_0.001_clickstream,4.659,0.892,adaboost_500_Real adaboost_forum,50.085,0.504,-45.427,0.388,True
rpart_0.001_clickstream,4.659,0.892,adaboost_100_Real adaboost_all,51.156,0.589,-46.497,0.304,True
rpart_0.001_clickstream,4.659,0.892,nb_1_FALSE_1_forum,52.824,0.499,-48.165,0.393,True
rpart_0.001_clickstream,4.659,0.892,nb_0_FALSE_1_forum,52.824,0.499,-48.165,0.393,True
rpart_0.001_clickstream,4.659,0.892,adaboost_500_Real adaboost_all,54.928,0.562,-50.269,0.33,True
rpart_0.001_clickstream,4.659,0.892,adaboost_50_Real adaboost_quiz,67.512,0.519,-62.854,0.373,True
rpart_0.001_clickstream,4.659,0.892,adaboost_100_Real adaboost_quiz,67.966,0.516,-63.307,0.376,True
rpart_0.001_clickstream,4.659,0.892,adaboost_500_Real adaboost_quiz,70.83,0.51,-66.171,0.383,True
rpart_0.001_clickstream,4.659,0.892,nb_0_FALSE_1_all,75.116,0.501,-70.457,0.392,True
rpart_0.001_clickstream,4.659,0.892,nb_1_FALSE_1_all,75.116,0.501,-70.457,0.392,True
adaboost_100_Adaboost.M1_clickstream,4.829,0.892,adaboost_100_Adaboost.M1_all,3.508,0.898,1.321,-0.006,False
adaboost_500_Adaboost.M1_clickstream,5.764,0.891,adaboost_100_Adaboost.M1_all,3.508,0.898,2.256,-0.007,False
adaboost_500_Adaboost.M1_clickstream,5.764,0.891,adaboost_500_Adaboost.M1_all,4.131,0.897,1.632,-0.006,False
adaboost_500_Adaboost.M1_clickstream,5.764,0.891,adaboost_100_Adaboost.M1_clickstream,4.829,0.892,0.935,-0.002,False
adaboost_500_Adaboost.M1_clickstream,5.764,0.891,adaboost_100_Real adaboost_clickstream,34.755,0.596,-28.992,0.294,True
adaboost_500_Adaboost.M1_clickstream,5.764,0.891,adaboost_100_Adaboost.M1_forum,42.573,0.513,-36.81,0.378,True
adaboost_500_Adaboost.M1_clickstream,5.764,0.891,adaboost_100_Adaboost.M1_quiz,45.78,0.585,-40.016,0.305,True
adaboost_500_Adaboost.M1_clickstream,5.764,0.891,adaboost_100_Real adaboost_forum,49.417,0.505,-43.654,0.386,True
adaboost_500_Adaboost.M1_clickstream,5.764,0.891,adaboost_100_Real adaboost_all,51.156,0.589,-45.393,0.302,True
adaboost_500_Adaboost.M1_clickstream,5.764,0.891,adaboost_100_Real adaboost_quiz,67.966,0.516,-62.202,0.375,True
rpart_0.01_clickstream,6.888,0.88,rpart_0.001_all,2.694,0.901,4.194,-0.021,False
rpart_0.01_clickstream,6.888,0.88,adaboost_100_Adaboost.M1_all,3.508,0.898,3.38,-0.018,False
rpart_0.01_clickstream,6.888,0.88,adaboost_50_Adaboost.M1_all,3.548,0.898,3.339,-0.018,False
rpart_0.01_clickstream,6.888,0.88,adaboost_500_Adaboost.M1_all,4.131,0.897,2.756,-0.017,False
rpart_0.01_clickstream,6.888,0.88,adaboost_50_Adaboost.M1_clickstream,4.537,0.893,2.351,-0.013,False
rpart_0.01_clickstream,6.888,0.88,rpart_0.01_all,4.65,0.894,2.238,-0.014,False
rpart_0.01_clickstream,6.888,0.88,rpart_0.001_clickstream,4.659,0.892,2.229,-0.012,False
rpart_0.01_clickstream,6.888,0.88,adaboost_100_Adaboost.M1_clickstream,4.829,0.892,2.059,-0.012,False
rpart_0.01_clickstream,6.888,0.88,adaboost_500_Adaboost.M1_clickstream,5.764,0.891,1.124,-0.011,False
