model_id_1,model_id_2,left,rope,right
svmLinear2_1_forum,rpart_0.001_all,0.0,1.0,0.0
svmLinear2_1_forum,nb_1_TRUE_1_quiz,0.0,1.0,0.0
svmLinear2_1_forum,nb_1_TRUE_1_forum,0.0,1.0,0.0
svmLinear2_1_forum,nb_1_TRUE_1_clickstream,0.0,0.0,1.0
svmLinear2_1_forum,nb_1_TRUE_1_all,0.0,1.0,0.0
svmLinear2_1_forum,nb_1_FALSE_1_quiz,0.0,1.0,0.0
svmLinear2_1_forum,nb_1_FALSE_1_forum,0.99968,0.00032,0.0
svmLinear2_1_forum,nb_1_FALSE_1_clickstream,0.0,0.0,1.0
svmLinear2_1_forum,nb_1_FALSE_1_all,0.0,1.0,0.0
svmLinear2_1_forum,nb_0_TRUE_1_quiz,0.0,1.0,0.0
svmLinear2_1_forum,nb_0_TRUE_1_forum,0.0,1.0,0.0
svmLinear2_1_forum,nb_0_TRUE_1_clickstream,0.0,0.0,1.0
svmLinear2_1_forum,nb_0_TRUE_1_all,0.0,1.0,0.0
svmLinear2_1_forum,nb_0_FALSE_1_quiz,0.0,1.0,0.0
svmLinear2_1_forum,nb_0_FALSE_1_forum,0.9995,0.0005,0.0
svmLinear2_1_forum,nb_0_FALSE_1_clickstream,0.0,0.0,1.0
svmLinear2_1_forum,nb_0_FALSE_1_all,0.0,1.0,0.0
svmLinear2_1_forum,glmnet_0_1_quiz,0.0,1.0,0.0
svmLinear2_1_forum,glmnet_0_1_forum,0.0,1.0,0.0
svmLinear2_1_forum,glmnet_0_1_clickstream,0.0,0.0,1.0
svmLinear2_1_forum,glmnet_0_1_all,0.0,1.0,0.0
svmLinear2_1_forum,glmnet_0_0_quiz,0.0,1.0,0.0
svmLinear2_1_forum,glmnet_0_0_forum,0.0,1.0,0.0
svmLinear2_1_forum,glmnet_0_0_clickstream,0.0,0.0,1.0
svmLinear2_1_forum,glmnet_0_0_all,0.0,1.0,0.0
svmLinear2_1_forum,glmnet_0_0.1_quiz,0.0,1.0,0.0
svmLinear2_1_forum,glmnet_0_0.1_forum,0.0,1.0,0.0
svmLinear2_1_forum,glmnet_0_0.1_clickstream,0.0,0.0,1.0
svmLinear2_1_forum,glmnet_0_0.1_all,0.0,1.0,0.0
svmLinear2_1_forum,glmnet_0_0.01_quiz,0.0,1.0,0.0
svmLinear2_1_forum,glmnet_0_0.01_forum,0.0,1.0,0.0
svmLinear2_1_forum,glmnet_0_0.01_clickstream,0.0,0.0,1.0
svmLinear2_1_forum,glmnet_0_0.01_all,0.0,1.0,0.0
svmLinear2_1_forum,glmnet_0_0.001_quiz,0.0,1.0,0.0
svmLinear2_1_forum,glmnet_0_0.001_forum,0.0,1.0,0.0
svmLinear2_1_forum,glmnet_0_0.001_clickstream,0.0,0.0,1.0
svmLinear2_1_forum,glmnet_0_0.001_all,0.0,1.0,0.0
svmLinear2_1_forum,adaboost_50_Real adaboost_quiz,0.0,1.0,0.0
svmLinear2_1_forum,adaboost_50_Real adaboost_forum,0.0,1.0,0.0
svmLinear2_1_forum,adaboost_50_Real adaboost_clickstream,0.0,0.0,1.0
svmLinear2_1_forum,adaboost_50_Real adaboost_all,0.0,1.0,0.0
svmLinear2_1_forum,adaboost_50_Adaboost.M1_quiz,0.0,1.0,0.0
svmLinear2_1_forum,adaboost_50_Adaboost.M1_forum,0.0,1.0,0.0
svmLinear2_1_forum,adaboost_50_Adaboost.M1_clickstream,0.0,0.0,1.0
svmLinear2_1_forum,adaboost_50_Adaboost.M1_all,0.0,1.0,0.0
svmLinear2_1_forum,adaboost_500_Real adaboost_quiz,0.0,1.0,0.0
svmLinear2_1_forum,adaboost_500_Real adaboost_forum,0.0,1.0,0.0
svmLinear2_1_forum,adaboost_500_Real adaboost_clickstream,4e-05,0.0,0.99996
svmLinear2_1_forum,adaboost_500_Real adaboost_all,0.0,1.0,0.0
svmLinear2_1_forum,adaboost_500_Adaboost.M1_quiz,0.0,1.0,0.0
svmLinear2_1_forum,adaboost_500_Adaboost.M1_forum,0.0,1.0,0.0
svmLinear2_1_forum,adaboost_500_Adaboost.M1_clickstream,0.0,0.0,1.0
svmLinear2_1_forum,adaboost_500_Adaboost.M1_all,0.0,1.0,0.0
svmLinear2_1_forum,adaboost_100_Real adaboost_quiz,0.0,1.0,0.0
svmLinear2_1_forum,adaboost_100_Real adaboost_forum,0.0,1.0,0.0
